method,n,success_rate,wilson_lo,wilson_hi,median_ttg,median_station_rmse,rmse_ci_lo,rmse_ci_hi,q90_station_rmse,median_theta_err,median_runtime_us,never_certified,no_reach,hold_broken
proposed,200,1,0.981154,1,14,0.0639302,0.0582546,0.0694303,0.117266,0.0347979,8.57114,0,0,0
proposed_smoother,200,1,0.981154,1,14,0.0639302,0.0582546,0.0694303,0.117266,0.0347979,243.093,0,0,0
oracle_yaw,200,1,0.981154,1,12.85,0.0652683,0.0594444,0.0715283,0.110146,0,9.07031,0,0,0
ekf,200,1,0.981154,1,14.17,0.086841,0.0797393,0.0950187,0.171562,0.0571652,0.28857,0,0,0
endpoint_only,200,0.97,0.936105,0.98618,27.06,0.070813,0.0640564,0.0785239,0.168999,0.0705204,0.376541,1,4,1
fixed_decay_exc,200,1,0.981154,1,14.01,0.0625417,0.0588422,0.0681606,0.120291,0.0357046,9.35788,0,0,0
no_excitation,200,0,0,0.018846,0,10.3256,9.77926,11.0267,14.3203,1.67621,9.30357,200,0,0
proposed_diag_var,200,1,0.981154,1,13.48,0.0657133,0.0624775,0.0727529,0.107797,0.0299756,9.76341,0,0,0
proposed_packet_only,200,1,0.981154,1,13.48,0.0644211,0.0603199,0.0688076,0.117216,0.0280771,10.8181,0,0,0
anchored_naive,200,0.335,0.27324,0.402979,19.24,35.1988,7.42718,51.6396,134.934,1.67621,11.0923,0,132,1
