method,seed,success,failure,time_to_goal,station_rmse,theta_err,mean_runtime_us,deadreck_err,retriggers
proposed,10000,1,,11.55,0.119271,0.0664241,8.6851,2.11884,0
proposed,10001,1,,8.21,0.0522484,0.0419585,8.51416,1.87858,0
proposed,10002,1,,13.24,0.0401902,0.022362,8.50417,0.873217,0
proposed,10003,1,,8.89,0.173998,0.0600804,8.08164,1.34786,0
proposed,10004,1,,17.33,0.0564904,0.00583797,8.31989,1.40732,0
proposed,10005,1,,11.79,0.140277,0.0504344,8.10663,1.17795,0
proposed,10006,1,,9.76,0.0146268,0.0454838,7.68644,1.73003,0
proposed,10007,1,,14.86,0.0491757,0.0333471,8.48584,0.586386,0
proposed,10008,1,,18.56,0.0737131,0.0172079,8.02299,1.28649,0
proposed,10009,1,,19.1,0.101489,0.0411504,7.83272,2.34909,0
proposed,10010,1,,15.91,0.012602,0.0848931,7.98767,2.59863,0
proposed,10011,1,,9.46,0.0835584,0.0586861,8.15128,0.942765,0
proposed,10012,1,,15.12,0.0577477,0.0249394,8.31456,0.264212,0
proposed,10013,1,,7.63,0.0663064,0.0351848,8.20626,1.94117,0
proposed,10014,1,,11.78,0.0118684,0.00195161,8.23292,1.54629,0
proposed,10015,1,,15.13,0.0463683,0.0764159,8.16694,1.2296,0
proposed,10016,1,,9.62,0.107146,0.0205368,7.89437,2.08952,0
proposed,10017,1,,20.45,0.0916007,0.110867,8.09164,1.66198,0
proposed,10018,1,,17.2,0.0494556,0.0079577,8.41486,0.688477,0
proposed,10019,1,,17.72,0.0678351,0.0119942,8.34055,1.46607,0
proposed,10020,1,,18.52,0.0639302,0.0347979,8.03532,1.17753,0
proposed,10021,1,,16.69,0.0738175,0.0116202,8.01866,0.897914,0
proposed,10022,1,,7.91,0.0550918,0.0217624,8.30023,1.6,0
proposed,10023,1,,16.63,0.0701326,0.0180089,7.86405,1.51949,0
proposed,10024,1,,20.08,0.0468453,0.0310486,8.27291,2.02542,0
proposed,10025,1,,12.73,0.126163,0.020004,8.33056,2.25062,0
proposed,10026,1,,9.11,0.0607213,0.0280823,7.85272,2.28587,0
proposed,10027,1,,20.48,0.141278,0.0509808,7.72976,1.75074,0
proposed,10028,1,,12.19,0.053054,0.0728822,7.82373,0.894062,0
proposed,10029,1,,13.08,0.0223355,0.0032406,8.53749,1.82673,0
proposed,10030,1,,12.47,0.0682636,0.0547154,8.71943,1.90643,0
proposed,10031,1,,17.13,0.0604943,0.00141661,7.93635,0.905965,0
proposed,10032,1,,17.6,0.0470854,0.0485277,7.84405,1.72745,0
proposed,10033,1,,15.06,0.0547872,0.0161001,7.77408,0.944344,0
proposed,10034,1,,15.85,0.0561165,0.0813452,8.45318,0.639169,0
proposed,10035,1,,15.78,0.032014,0.00038687,7.98267,2.02309,0
proposed,10036,1,,14.2,0.0721397,0.0234511,7.85338,0.1306,0
proposed,10037,1,,10.19,0.0718378,0.0399501,8.15595,0.898349,0
proposed,10038,1,,21.43,0.0737202,0.0139014,8.04565,0.738888,0
proposed,10039,1,,14.56,0.0682103,0.0172136,8.23925,1.55064,0
proposed,10040,1,,17.33,0.0681787,0.0297602,8.28257,1.19658,0
proposed,10041,1,,17.73,0.0223027,0.034138,7.68744,1.93687,0
proposed,10042,1,,8.87,0.101346,0.0093301,8.85671,1.68622,0
proposed,10043,1,,18.26,0.0938072,0.0157224,7.7884,1.10687,0
proposed,10044,1,,8.9,0.109335,0.0435208,8.29424,1.1025,0
proposed,10045,1,,13.88,0.037092,0.0238214,9.39254,1.51305,0
proposed,10046,1,,20.81,0.0582546,0.0702203,8.70643,1.80327,0
proposed,10047,1,,10.21,0.0478489,0.0210017,7.87737,2.31356,0
proposed,10048,1,,10.31,0.0237338,0.035882,7.79107,1.2454,0
proposed,10049,1,,15.24,0.0657236,0.0190101,8.04432,1.45453,0
proposed,10050,1,,11.58,0.107287,0.0280893,8.2959,1.87041,0
proposed,10051,1,,11.55,0.0210835,0.010042,8.52083,0.217841,0
proposed,10052,1,,14.26,0.0929228,0.101736,8.1866,1.0812,0
proposed,10053,1,,14.55,0.0576397,0.00367606,8.34888,2.43086,0
proposed,10054,1,,13.31,0.199914,0.0391702,8.74309,1.08523,0
proposed,10055,1,,13.26,0.0300881,0.0601496,7.98067,1.59486,0
proposed,10056,1,,16.28,0.0907046,0.00858549,8.5998,0.781337,0
proposed,10057,1,,12.7,0.0205624,0.0573093,8.03332,1.14501,0
proposed,10058,1,,16.81,0.0657126,0.0447059,8.14895,0.891183,0
proposed,10059,1,,8.84,0.145095,0.0697019,7.77274,2.35163,0
proposed,10060,1,,12.37,0.0877434,0.00182345,8.18227,1.09452,0
proposed,10061,1,,13.07,0.0455136,0.0148641,8.49983,0.72635,0
