model,sigma_xy_step_m,n_views,pred_var,emp_mse,ratio,cov90,cov95,cov99,false_cert_rate,n_realizations
full,0.0025,8,0.00145472,0.00139489,0.958869,0.907,0.9515,0.9905,0,2000
full,0.0025,16,0.000896874,0.00087292,0.973292,0.9055,0.9535,0.989,0,2000
full,0.005,8,0.00155738,0.00157361,1.01042,0.901,0.951,0.99,0,2000
full,0.005,16,0.00118196,0.00121299,1.02625,0.889,0.944,0.991,0,2000
full,0.01,8,0.00202737,0.0019646,0.969035,0.8965,0.951,0.991,0,2000
full,0.01,16,0.00242639,0.00242899,1.00107,0.9025,0.952,0.9905,0.0015,2000
full,0.02,8,0.00423356,0.00407733,0.963097,0.9055,0.954,0.9925,0.004,2000
full,0.02,16,0.00780332,0.00771889,0.98918,0.8965,0.95,0.99,0.0245,2000
full,0.05,8,0.0227232,0.0220419,0.97002,0.9005,0.948,0.987,0,2000
full,0.05,16,0.0507995,0.0469791,0.924794,0.903,0.946,0.9855,0,2000
diag,0.0025,8,0.0014348,0.00144595,1.00777,0.8965,0.944,0.9875,0,2000
diag,0.0025,16,0.00082203,0.000872537,1.06144,0.896,0.9385,0.992,0,2000
diag,0.005,8,0.00147712,0.00157121,1.0637,0.884,0.9395,0.9865,0,2000
diag,0.005,16,0.000871376,0.00118784,1.36318,0.8415,0.8965,0.9755,0,2000
diag,0.01,8,0.00164722,0.00210835,1.27995,0.855,0.9125,0.974,0,2000
diag,0.01,16,0.00109393,0.00231546,2.11664,0.7365,0.816,0.922,0.0005,2000
diag,0.02,8,0.00233886,0.0041078,1.75632,0.7835,0.8565,0.9475,0.006,2000
diag,0.02,16,0.00196553,0.00779987,3.96833,0.579,0.6635,0.803,0.0515,2000
diag,0.05,8,0.00672133,0.022212,3.30471,0.6285,0.7195,0.8295,0.176,2000
diag,0.05,16,0.00756856,0.0507866,6.71021,0.449,0.5225,0.649,0.279,2000
packet_only,0.0025,8,0.00140668,0.00144597,1.02793,0.8965,0.944,0.9865,0,2000
packet_only,0.0025,16,0.000785642,0.000855134,1.08845,0.8825,0.9355,0.986,0,2000
packet_only,0.005,8,0.00136002,0.00152956,1.12466,0.8785,0.9365,0.9855,0,2000
packet_only,0.005,16,0.000736714,0.00111224,1.50973,0.82,0.8935,0.9705,0,2000
packet_only,0.01,8,0.00123851,0.00190642,1.53928,0.8105,0.8855,0.96,0,2000
packet_only,0.01,16,0.000640869,0.00247137,3.85628,0.6095,0.6925,0.8155,0,2000
packet_only,0.02,8,0.0010568,0.00430949,4.07786,0.5875,0.662,0.791,0.007,2000
packet_only,0.02,16,0.000571205,0.00768609,13.4559,0.3515,0.413,0.5265,0.0515,2000
packet_only,0.05,8,0.0011085,0.0211059,19.04,0.2975,0.348,0.431,0.2315,2000
packet_only,0.05,16,0.000823251,0.047309,57.4661,0.187,0.22,0.2755,0.395,2000
