chord_m,n_views,pred_var,emp_var,pred_info_bound,ratio,cov90,cov95,cov99,n_realizations
0.25,2,0.13283,0.23144,0.039557,1.74238,0.869,0.916,0.971,1000
0.25,4,0.200194,0.198203,0.0235154,0.990056,0.911,0.949,0.978,1000
0.25,8,0.139184,0.0856467,0.0114606,0.615347,0.963,0.983,0.997,1000
0.25,16,0.0839364,0.0470332,0.00579153,0.560344,0.978,0.994,0.998,1000
0.5,2,0.0303499,0.0349644,0.0120817,1.15204,0.91,0.96,0.988,1000
0.5,4,0.0308904,0.0340922,0.00910133,1.10365,0.893,0.945,0.985,1000
0.5,8,0.0200126,0.0173879,0.00496973,0.868846,0.923,0.962,0.994,1000
0.5,16,0.0117542,0.00969129,0.00265677,0.824498,0.938,0.975,0.997,1000
1,2,0.00865454,0.00861528,0.00363292,0.995464,0.915,0.962,0.993,1000
1,4,0.00802028,0.00872269,0.00277569,1.08758,0.888,0.946,0.983,1000
1,8,0.00492539,0.00464674,0.00153114,0.943425,0.909,0.951,0.993,1000
1,16,0.00276662,0.00256509,0.000823494,0.927154,0.916,0.969,0.996,1000
2,2,0.00330211,0.00313412,0.00295581,0.949126,0.907,0.96,0.997,1000
2,4,0.00222613,0.00236247,0.00055123,1.06125,0.892,0.944,0.987,1000
2,8,0.00141742,0.00134233,0.000303312,0.947019,0.904,0.957,0.993,1000
2,16,0.000806892,0.000763656,0.000165492,0.946417,0.915,0.964,0.994,1000
4,2,0.000403906,0.000371217,0.000404118,0.919066,0.906,0.958,0.999,1000
4,4,0.000206726,0.000204016,8.21904e-05,0.986887,0.9,0.96,0.992,1000
4,8,0.000101006,9.9673e-05,4.29408e-05,0.986808,0.906,0.947,0.992,1000
4,16,4.89673e-05,4.92891e-05,2.14604e-05,1.00657,0.888,0.949,0.992,1000
