sigma_xy_step_m,n_views,pred_var,emp_mse,ratio,mean_error,cov90,cov95,cov99,n_realizations
0.0025,8,0.00145887,0.00141436,0.969491,-5.86327e-05,0.904,0.9485,0.988,2000
0.0025,16,0.000896306,0.000938237,1.04678,0.000513539,0.8895,0.9425,0.9885,2000
0.005,8,0.00156151,0.0016649,1.06621,-0.00207822,0.887,0.9395,0.9905,2000
0.005,16,0.00118054,0.00119375,1.01119,0.000486008,0.8975,0.951,0.989,2000
0.01,8,0.00202871,0.00194563,0.959048,-0.0013244,0.9095,0.95,0.9885,2000
0.01,16,0.00241926,0.00247306,1.02224,-0.00163873,0.896,0.943,0.9915,2000
0.02,8,0.004236,0.00398833,0.941534,-0.000456382,0.909,0.9555,0.9915,2000
0.02,16,0.00789201,0.00772349,0.978646,0.000570116,0.8965,0.9495,0.9895,2000
0.05,8,0.0224569,0.0205589,0.915482,0.00524439,0.913,0.9525,0.9885,2000
0.05,16,0.0537996,0.0473521,0.880157,0.00323607,0.8915,0.946,0.9885,2000
