axis,sigma,n,success_rate,wilson_lo,wilson_hi,median_rmse,q90_rmse,median_theta_err
range,0.025,200,1,0.981154,1,0.0672976,0.175685,0.0311266
range,0.05,200,1,0.981154,1,0.0662443,0.155601,0.0323149
range,0.1,200,1,0.981154,1,0.0603573,0.110915,0.030143
range,0.2,200,1,0.981154,1,0.0553583,0.0855861,0.0361443
range,0.4,200,1,0.981154,1,0.0783098,0.116042,0.0516952
bearing_deg,0.25,200,1,0.981154,1,0.0936364,0.177891,0.0288291
bearing_deg,0.5,200,1,0.981154,1,0.0883365,0.162263,0.0298265
bearing_deg,1,200,1,0.981154,1,0.0597846,0.114278,0.0304515
bearing_deg,2,200,1,0.981154,1,0.0867621,0.150701,0.0334742
bearing_deg,4,200,1,0.981154,1,0.169981,0.287646,0.0413246
