axis,value,method,n,success_rate,wilson_lo,wilson_hi,median_rmse,q90_rmse,median_theta_err,median_path_err
sigma_xy,0.005,proposed,200,1,0.981154,1,0.0626905,0.11181,0.0294557,0.906453
sigma_xy,0.01,proposed,200,0.94,0.898067,0.965348,0.0658291,0.126377,0.0562309,1.10815
sigma_xy,0.02,proposed,200,0,0,0.018846,10.9125,14.4197,1.33159,2.0654
sigma_xy,0.05,proposed,200,0,0,0.018846,10.9125,14.4197,1.33159,5.16413
bias,0,proposed,200,1,0.981154,1,0.0635751,0.108202,0.029082,0.545384
bias,0.02,proposed,200,1,0.981154,1,0.0645282,0.117933,0.031668,1.56183
bias,0.05,proposed,200,1,0.981154,1,0.0705912,0.134359,0.0290672,3.85068
scale,0.02,proposed,200,1,0.981154,1,0.0656356,0.1151,0.0296563,1.06754
scale,0.05,proposed,200,1,0.981154,1,0.0653121,0.110642,0.0282674,1.33657
scale,0.1,proposed,200,1,0.981154,1,0.0660323,0.110588,0.0275189,1.80469
heading_drift_deg_s,0.1,proposed,200,1,0.981154,1,0.0648133,0.121122,0.0295001,0.903951
heading_drift_deg_s,0.25,proposed,200,1,0.981154,1,0.0680967,0.129931,0.0357151,0.96562
heading_drift_deg_s,0.5,proposed,200,1,0.981154,1,0.0795868,0.192877,0.054887,1.1729
