axis,value,n,success_rate,wilson_lo,wilson_hi,median_rmse,rmse_ci_lo,rmse_ci_hi,q90_rmse,median_theta_err,median_ttg
dropout,0,200,1,0.981154,1,0.0678808,0.0633374,0.0716863,0.105117,0.0250936,14.31
dropout,0.1,200,1,0.981154,1,0.0564348,0.0515304,0.0631583,0.102594,0.0261039,14.44
dropout,0.3,200,1,0.981154,1,0.0690113,0.0644274,0.0742809,0.104615,0.0240369,14.71
dropout,0.5,200,1,0.981154,1,0.0802562,0.0744419,0.0841591,0.124716,0.0274501,14.95
delay_s,0,200,1,0.981154,1,0.0678808,0.0633374,0.0716863,0.105117,0.0250936,14.31
delay_s,0.1,200,1,0.981154,1,0.0619955,0.0556128,0.0671976,0.103276,0.0246683,14.39
delay_s,0.25,200,1,0.981154,1,0.0616351,0.0540067,0.0666643,0.100779,0.0268107,14.66
delay_s,0.5,200,1,0.981154,1,0.0569221,0.0537777,0.0638146,0.0990218,0.0284447,15.2
jitter_s,0,200,1,0.981154,1,0.0624972,0.0579806,0.0671322,0.101669,0.024398,14.59
jitter_s,0.05,200,1,0.981154,1,0.0557674,0.0521606,0.0629715,0.106175,0.0347982,14.73
jitter_s,0.1,200,1,0.981154,1,0.0634851,0.0562224,0.0684981,0.101096,0.0341186,14.66
jitter_s,0.2,200,1,0.981154,1,0.0681507,0.0623097,0.0716554,0.108993,0.0337914,14.77
outlier_prob,0,200,1,0.981154,1,0.0678808,0.0633374,0.0716863,0.105117,0.0250936,14.31
outlier_prob,0.01,200,1,0.981154,1,0.0850433,0.0788256,0.0904216,0.127887,0.0356331,14.58
outlier_prob,0.05,200,1,0.981154,1,0.117496,0.113758,0.127758,0.186561,0.0398438,14.69
outlier_prob,0.1,200,1,0.981154,1,0.148954,0.140576,0.162668,0.241958,0.0455439,15.18
outlier_prob,0.2,200,1,0.981154,1,0.203551,0.190914,0.215915,0.320953,0.0612429,15.89
